조사번호,조사지역,주구분,조사일자,시간대,X좌표,Y좌표,행정구역명,날씨,남자10대,남자20대,남자30대,남자40대,남자50대,여자10대,여자20대,여자30대,여자40대,여자50대
2553,"신탄역 우측 건너편 농협, 조내과 옆",주말,2010-06-26,12시~13시까지,349044,427745,대전광역시 대덕구 신탄진동,흐림,42,79,68,19,18,63,45,47,13,31
2553,"신탄역 우측 건너편 농협, 조내과 옆",주말,2010-06-26,19시~20시까지,349044,427745,대전광역시 대덕구 신탄진동,흐림,11,27,38,38,14,42,11,12,27,6
2554,송촌주민센터 옆,주중,2010-06-29,12시~13시까지,349741,418313,대전광역시 대덕구 송촌동,흐림,3,8,34,14,12,1,6,8,5,13
2554,송촌주민센터 옆,주중,2010-06-29,19시~20시까지,349741,418313,대전광역시 대덕구 송촌동,흐림,53,18,8,50,35,58,18,7,51,30
2554,송촌주민센터 옆,주말,2010-06-27,12시~13시까지,349741,418313,대전광역시 대덕구 송촌동,맑음,8,5,16,33,11,6,14,7,20,3
2554,송촌주민센터 옆,주말,2010-06-27,19시~20시까지,349741,418313,대전광역시 대덕구 송촌동,맑음,49,25,35,17,8,40,33,10,9,18
2555,하이마트 건너편,주중,2010-06-29,12시~13시까지,349720,418187,대전광역시 대덕구 송촌동,흐림,2,18,19,8,28,1,8,6,3,13
2555,하이마트 건너편,주중,2010-06-29,19시~20시까지,349720,418187,대전광역시 대덕구 송촌동,흐림,63,25,21,15,17,60,22,11,8,10
2555,하이마트 건너편,주말,2010-06-27,12시~13시까지,349720,418187,대전광역시 대덕구 송촌동,맑음,0,3,8,6,2,2,11,10,4,10
2555,하이마트 건너편,주말,2010-06-27,19시~20시까지,349720,418187,대전광역시 대덕구 송촌동,맑음,23,4,3,8,32,8,12,5,35,44
2556,A,주중,2010-06-09,12시~13시까지,522024,327118,울산광역시 남구 삼산동,맑음,0,21,33,27,72,0,6,6,6,9
2556,A,주중,2010-06-09,19시~20시까지,522024,327118,울산광역시 남구 삼산동,맑음,0,33,24,45,45,0,54,33,36,12
2556,A,주말,2010-06-12,12시~13시까지,522024,327118,울산광역시 남구 삼산동,맑음,0,15,33,51,87,6,9,18,9,51
2556,A,주말,2010-06-12,19시~20시까지,522024,327118,울산광역시 남구 삼산동,맑음,3,30,33,51,84,0,24,21,12,15
2557,B,주중,2010-06-09,12시~13시까지,521867,327114,울산광역시 남구 삼산동,맑음,0,24,48,57,42,0,42,33,12,6
2557,B,주중,2010-06-09,19시~20시까지,521867,327114,울산광역시 남구 삼산동,맑음,3,48,36,42,39,6,129,54,18,15
2557,B,주말,2010-06-12,12시~13시까지,521867,327114,울산광역시 남구 삼산동,맑음,12,18,21,33,18,24,39,24,9,18
2557,B,주말,2010-06-12,19시~20시까지,521867,327114,울산광역시 남구 삼산동,맑음,21,54,24,30,33,9,39,12,12,6
2558,A지역(가능역 1번출구앞),주중,2010-07-01,12시~13시까지,316040,572204,경기도 의정부시 의정부1동,흐림,22,29,51,31,33,14,43,57,48,30
2558,A지역(가능역 1번출구앞),주중,2010-07-01,19시~20시까지,316040,572204,경기도 의정부시 의정부1동,흐림,50,75,81,65,56,74,80,55,53,31
2558,A지역(가능역 1번출구앞),주말,2010-07-03,12시~13시까지,316040,572204,경기도 의정부시 의정부1동,흐림,59,38,48,44,41,89,60,41,40,32
2558,A지역(가능역 1번출구앞),주말,2010-07-03,19시~20시까지,316040,572204,경기도 의정부시 의정부1동,흐림,95,116,88,95,65,62,80,62,78,45
2559,B지점(가능역 2번출구앞),주중,2010-07-01,12시~13시까지,315831,572132,경기도 의정부시 의정부1동,흐림,13,15,26,16,17,9,22,30,26,17
2559,B지점(가능역 2번출구앞),주중,2010-07-01,19시~20시까지,315831,572132,경기도 의정부시 의정부1동,흐림,26,38,43,33,29,38,40,27,26,15
2559,B지점(가능역 2번출구앞),주말,2010-07-03,12시~13시까지,315831,572132,경기도 의정부시 의정부1동,흐림,30,19,24,22,19,43,29,21,19,16
2559,B지점(가능역 2번출구앞),주말,2010-07-03,19시~20시까지,315831,572132,경기도 의정부시 의정부1동,흐림,48,57,43,47,33,31,39,31,38,22
2560,A지점,주중,2010-07-15,12시~13시까지,367855,521079,경기도 여주군 여주읍,맑음,40,84,20,48,124,12,80,56,64,104
2560,A지점,주중,2010-07-15,19시~20시까지,367855,521079,경기도 여주군 여주읍,맑음,60,110,28,66,170,16,112,84,90,150
2560,A지점,주말,2010-07-03,12시~13시까지,367855,521079,경기도 여주군 여주읍,맑음,24,52,10,32,80,6,50,44,50,64
2560,A지점,주말,2010-07-03,19시~20시까지,367855,521079,경기도 여주군 여주읍,맑음,38,64,16,40,104,4,30,30,32,40
2561,B지점,주중,2010-07-15,12시~13시까지,367871,521139,경기도 여주군 여주읍,맑음,56,60,24,20,44,32,96,56,24,104
2561,B지점,주중,2010-07-15,19시~20시까지,367871,521139,경기도 여주군 여주읍,맑음,80,90,40,30,64,48,142,84,34,148
2561,B지점,주말,2010-07-03,12시~13시까지,367871,521139,경기도 여주군 여주읍,맑음,44,36,14,28,36,20,60,44,16,60
2561,B지점,주말,2010-07-03,19시~20시까지,367871,521139,경기도 여주군 여주읍,맑음,50,60,20,40,40,30,88,54,22,96
2562,A지점,주중,2010-07-05,12시~13시까지,367984,521675,경기도 여주군 여주읍,맑음,112,32,44,56,80,144,144,160,208,204
2562,A지점,주중,2010-07-05,19시~20시까지,367984,521675,경기도 여주군 여주읍,맑음,156,48,70,86,120,200,210,230,292,302
2562,A지점,주말,2010-07-04,12시~13시까지,367984,521675,경기도 여주군 여주읍,맑음,90,26,36,46,66,114,126,126,168,166
2562,A지점,주말,2010-07-04,19시~20시까지,367984,521675,경기도 여주군 여주읍,맑음,126,38,64,68,102,164,188,180,238,262
2563,B지점,주중,2010-07-05,12시~13시까지,367906,521397,경기도 여주군 여주읍,맑음,28,16,12,20,36,24,52,32,40,44
2563,B지점,주중,2010-07-05,19시~20시까지,367906,521397,경기도 여주군 여주읍,맑음,40,24,20,28,50,30,74,50,58,64
2563,B지점,주말,2010-07-04,12시~13시까지,367906,521397,경기도 여주군 여주읍,맑음,22,12,10,18,36,18,42,24,34,36
2563,B지점,주말,2010-07-04,19시~20시까지,367906,521397,경기도 여주군 여주읍,맑음,36,18,20,22,40,26,56,36,48,52
2565,B지점(금광포란재 아파트앞),주중,2010-07-02,12시~13시까지,315042,572779,경기도 의정부시 녹양동,맑음,14,28,46,36,22,20,36,64,44,36
2565,B지점(금광포란재 아파트앞),주중,2010-07-02,19시~20시까지,315042,572779,경기도 의정부시 녹양동,맑음,46,68,72,60,52,68,72,52,50,40
2565,B지점(금광포란재 아파트앞),주말,2010-07-04,12시~13시까지,315042,572779,경기도 의정부시 녹양동,맑음,54,34,44,40,36,82,54,36,38,30
2565,B지점(금광포란재 아파트앞),주말,2010-07-04,19시~20시까지,315042,572779,경기도 의정부시 녹양동,맑음,46,28,38,36,38,72,48,30,34,26
2566,A,주중,2010-06-24,12시~13시까지,518930,326688,울산광역시 남구 신정동,맑음,42,183,63,72,45,36,246,147,123,105
2566,A,주중,2010-06-24,19시~20시까지,518930,326688,울산광역시 남구 신정동,맑음,198,204,63,51,90,441,234,69,123,54
2566,A,주말,2010-07-04,12시~13시까지,518930,326688,울산광역시 남구 신정동,맑음,153,102,39,42,78,237,159,12,57,87
2566,A,주말,2010-07-04,19시~20시까지,518930,326688,울산광역시 남구 신정동,맑음,171,267,48,69,78,231,321,39,123,126
2567,B,주중,2010-06-24,12시~13시까지,519133,326794,울산광역시 남구 신정동,맑음,3,33,24,33,123,0,48,57,51,171
2567,B,주중,2010-06-24,19시~20시까지,519133,326794,울산광역시 남구 신정동,맑음,24,129,15,36,60,72,129,27,21,42
2567,B,주말,2010-07-04,12시~13시까지,519133,326794,울산광역시 남구 신정동,맑음,36,90,24,18,51,33,45,18,18,78
2567,B,주말,2010-07-04,19시~20시까지,519133,326794,울산광역시 남구 신정동,맑음,12,222,39,42,48,24,195,33,24,78
2568,A,주중,2010-06-29,12시~13시까지,521795,329363,울산광역시 중구 반구동,맑음,0,9,6,12,42,0,6,15,12,54
2568,A,주중,2010-06-29,19시~20시까지,521795,329363,울산광역시 중구 반구동,맑음,21,30,15,3,48,24,18,18,21,51
2568,A,주말,2010-07-03,12시~13시까지,521795,329363,울산광역시 중구 반구동,맑음,69,39,9,42,78,69,12,30,39,42
2568,A,주말,2010-07-03,19시~20시까지,521795,329363,울산광역시 중구 반구동,맑음,45,6,15,39,69,33,9,45,54,72
2569,B,주중,2010-06-29,12시~13시까지,521807,329491,울산광역시 중구 반구동,맑음,0,9,15,21,60,3,9,21,57,66
2569,B,주중,2010-06-29,19시~20시까지,521807,329491,울산광역시 중구 반구동,맑음,48,39,33,45,54,27,18,12,18,54
2569,B,주말,2010-07-03,12시~13시까지,521807,329491,울산광역시 중구 반구동,맑음,78,36,24,30,54,141,30,6,39,36
2569,B,주말,2010-07-03,19시~20시까지,521807,329491,울산광역시 중구 반구동,맑음,57,81,9,24,57,21,12,12,27,51
2570,A지점(농협중앙회앞),주중,2010-10-07,12시~13시까지,316993,589665,경기도 동두천시 중앙동,맑음,30,60,86,76,60,36,66,72,72,58
2570,A지점(농협중앙회앞),주중,2010-10-07,19시~20시까지,316993,589665,경기도 동두천시 중앙동,맑음,108,92,116,122,76,86,62,94,60,78
2570,A지점(농협중앙회앞),주말,2010-10-09,12시~13시까지,316993,589665,경기도 동두천시 중앙동,맑음,96,66,90,78,90,144,84,134,100,72
2570,A지점(농협중앙회앞),주말,2010-10-09,19시~20시까지,316993,589665,경기도 동두천시 중앙동,맑음,136,128,164,162,128,110,88,128,100,100
2571,A,주중,2010-06-16,12시~13시까지,521455,327548,울산광역시 남구 삼산동,맑음,12,144,99,48,54,9,405,129,75,87
2571,A,주중,2010-06-16,19시~20시까지,521455,327548,울산광역시 남구 삼산동,맑음,135,165,135,75,60,255,495,285,75,63
2571,A,주말,2010-06-19,12시~13시까지,521455,327548,울산광역시 남구 삼산동,맑음,51,279,99,57,30,144,435,150,90,39
2571,A,주말,2010-06-19,19시~20시까지,521455,327548,울산광역시 남구 삼산동,맑음,75,375,150,30,30,60,630,150,63,45
2572,B지점(중앙사거리앞),주중,2010-10-07,12시~13시까지,316953,589512,경기도 동두천시 중앙동,맑음,14,24,44,28,32,10,34,28,40,24
2572,B지점(중앙사거리앞),주중,2010-10-07,19시~20시까지,316953,589512,경기도 동두천시 중앙동,맑음,56,42,64,56,42,36,34,44,34,38
2572,B지점(중앙사거리앞),주말,2010-10-09,12시~13시까지,316953,589512,경기도 동두천시 중앙동,맑음,54,32,50,38,50,68,48,62,56,34
2572,B지점(중앙사거리앞),주말,2010-10-09,19시~20시까지,316953,589512,경기도 동두천시 중앙동,맑음,78,54,88,68,56,46,50,60,58,38
2573,B,주중,2010-06-16,12시~13시까지,520908,327460,울산광역시 남구 삼산동,맑음,3,33,66,39,33,3,87,93,90,96
2573,B,주중,2010-06-16,19시~20시까지,520908,327460,울산광역시 남구 삼산동,맑음,54,87,66,48,48,36,102,54,75,57
2573,B,주말,2010-06-19,12시~13시까지,520908,327460,울산광역시 남구 삼산동,맑음,63,51,78,39,30,54,72,51,51,63
2573,B,주말,2010-06-19,19시~20시까지,520908,327460,울산광역시 남구 삼산동,맑음,39,111,54,90,48,33,144,60,93,57
2574,A지점(세아프라자앞),주중,2010-10-08,12시~13시까지,316654,589071,경기도 동두천시 생연2동,흐림,24,28,62,44,38,20,50,44,42,30
2574,A지점(세아프라자앞),주중,2010-10-08,19시~20시까지,316654,589071,경기도 동두천시 생연2동,흐림,78,48,68,72,54,50,38,48,30,46
2574,A지점(세아프라자앞),주말,2010-10-10,12시~13시까지,316654,589071,경기도 동두천시 생연2동,흐림,58,34,62,44,54,82,58,70,66,36
2574,A지점(세아프라자앞),주말,2010-10-10,19시~20시까지,316654,589071,경기도 동두천시 생연2동,흐림,88,62,100,88,86,70,50,74,70,46
2575,B지역(큰시장입구앞),주중,2010-10-08,12시~13시까지,316730,589063,경기도 동두천시 생연2동,흐림,28,36,60,46,44,30,50,50,60,42
2575,B지역(큰시장입구앞),주중,2010-10-08,19시~20시까지,316730,589063,경기도 동두천시 생연2동,흐림,76,58,82,74,56,66,40,62,50,46
2575,B지역(큰시장입구앞),주말,2010-10-10,12시~13시까지,316730,589063,경기도 동두천시 생연2동,흐림,56,40,66,48,58,76,70,80,70,42
2575,B지역(큰시장입구앞),주말,2010-10-10,19시~20시까지,316730,589063,경기도 동두천시 생연2동,흐림,88,70,124,96,100,62,70,60,72,66
2576,A지점(제일교회앞),주중,2010-06-11,12시~13시까지,324549,561295,경기도 남양주시 퇴계원면,흐림,18,26,54,36,38,12,42,36,44,26
2576,A지점(제일교회앞),주중,2010-06-11,19시~20시까지,324549,561295,경기도 남양주시 퇴계원면,흐림,68,46,72,62,46,42,38,48,34,40
2576,A지점(제일교회앞),주말,2010-06-13,12시~13시까지,324549,561295,경기도 남양주시 퇴계원면,흐림,58,30,52,38,52,72,48,68,62,34
2576,A지점(제일교회앞),주말,2010-06-13,19시~20시까지,324549,561295,경기도 남양주시 퇴계원면,흐림,84,64,104,82,76,56,52,62,58,48
2577,B지점(한빛약국앞),주중,2010-06-11,12시~13시까지,324709,561181,경기도 남양주시 퇴계원면,흐림,12,20,42,26,30,8,26,22,26,20
2577,B지점(한빛약국앞),주중,2010-06-11,19시~20시까지,324709,561181,경기도 남양주시 퇴계원면,흐림,48,30,48,36,32,28,22,32,24,28
2577,B지점(한빛약국앞),주말,2010-06-13,12시~13시까지,324709,561181,경기도 남양주시 퇴계원면,흐림,40,22,42,28,36,48,32,48,36,28
2577,B지점(한빛약국앞),주말,2010-06-13,19시~20시까지,324709,561181,경기도 남양주시 퇴계원면,흐림,58,44,72,58,54,40,36,44,42,34
2578,A지점(파리바케트앞),주중,2010-06-10,12시~13시까지,318237,572514,경기도 의정부시 금오동,흐림,28,51,53,21,16,40,49,56,39,29
2578,A지점(파리바케트앞),주중,2010-06-10,19시~20시까지,318237,572514,경기도 의정부시 금오동,흐림,57,55,80,36,28,44,82,64,33,23
2578,A지점(파리바케트앞),주말,2010-06-12,12시~13시까지,318237,572514,경기도 의정부시 금오동,흐림,90,71,76,33,32,138,88,118,65,41
2578,A지점(파리바케트앞),주말,2010-06-12,19시~20시까지,318237,572514,경기도 의정부시 금오동,흐림,111,60,101,48,26,85,72,79,35,19
2579,B지점 (K T F 앞),주중,2010-06-10,12시~13시까지,318204,572628,경기도 의정부시 금오동,흐림,13,26,27,11,9,20,24,27,21,16
2579,B지점 (K T F 앞),주중,2010-06-10,19시~20시까지,318204,572628,경기도 의정부시 금오동,흐림,29,27,39,18,15,22,41,32,16,12
2579,B지점 (K T F 앞),주말,2010-06-12,12시~13시까지,318204,572628,경기도 의정부시 금오동,흐림,46,34,38,17,15,69,44,58,33,25
2579,B지점 (K T F 앞),주말,2010-06-12,19시~20시까지,318204,572628,경기도 의정부시 금오동,흐림,56,30,51,23,13,42,35,39,19,20
2580,파장주민센터인근,주중,2010-06-04,12시~13시까지,311072,523435,경기도 수원시 정자1동,맑음,22,36,42,36,58,43,48,39,85,76
2580,파장주민센터인근,주중,2010-06-04,19시~20시까지,311072,523435,경기도 수원시 정자1동,맑음,32,36,18,18,90,48,36,36,114,126
2580,파장주민센터인근,주말,2010-06-05,12시~13시까지,311072,523435,경기도 수원시 정자1동,맑음,11,42,35,54,66,45,38,75,68,49
2580,파장주민센터인근,주말,2010-06-05,19시~20시까지,311072,523435,경기도 수원시 정자1동,맑음,22,15,65,47,56,48,65,48,28,46
2581,율전동주민센터앞,주중,2010-06-10,12시~13시까지,309010,522206,경기도 수원시 율전동,맑음,23,434,54,32,33,21,334,32,22,21
2581,율전동주민센터앞,주중,2010-06-10,19시~20시까지,309010,522206,경기도 수원시 율전동,맑음,21,545,43,54,21,22,543,44,21,32
2581,율전동주민센터앞,주말,2010-06-12,12시~13시까지,309010,522206,경기도 수원시 율전동,맑음,6,222,30,54,18,6,48,6,12,6
2581,율전동주민센터앞,주말,2010-06-12,19시~20시까지,309010,522206,경기도 수원시 율전동,맑음,12,187,45,67,34,23,45,37,43,12
2582,율전치과앞,주중,2010-06-10,12시~13시까지,308944,522395,경기도 수원시 율전동,맑음,32,175,55,63,32,23,324,33,42,22
2582,율전치과앞,주중,2010-06-10,19시~20시까지,308944,522395,경기도 수원시 율전동,맑음,21,243,64,53,12,32,443,34,54,34
2582,율전치과앞,주말,2010-06-12,12시~13시까지,308944,522395,경기도 수원시 율전동,맑음,54,42,24,24,12,36,42,48,18,36
2582,율전치과앞,주말,2010-06-12,19시~20시까지,308944,522395,경기도 수원시 율전동,맑음,32,84,55,54,32,22,52,44,25,43
2583,GS25주변,주중,2010-06-11,12시~13시까지,310773,523122,경기도 수원시 정자1동,맑음,12,18,12,30,54,11,42,24,30,36
2583,GS25주변,주중,2010-06-11,19시~20시까지,310773,523122,경기도 수원시 정자1동,맑음,31,38,24,19,33,36,35,19,26,42
2583,GS25주변,주말,2010-06-19,12시~13시까지,310773,523122,경기도 수원시 정자1동,맑음,8,12,23,31,44,9,12,16,26,29
2583,GS25주변,주말,2010-06-19,19시~20시까지,310773,523122,경기도 수원시 정자1동,맑음,12,35,42,52,32,7,32,29,41,34
2584,파장시장입구,주중,2010-06-10,12시~13시까지,310830,523206,경기도 수원시 정자1동,맑음,8,21,54,42,68,9,15,43,81,94
2584,파장시장입구,주중,2010-06-10,19시~20시까지,310830,523206,경기도 수원시 정자1동,맑음,21,32,34,41,84,31,31,114,184,161
2584,파장시장입구,주말,2010-06-12,12시~13시까지,310830,523206,경기도 수원시 정자1동,맑음,11,32,52,41,119,10,29,42,65,119
2584,파장시장입구,주말,2010-06-12,19시~20시까지,310830,523206,경기도 수원시 정자1동,맑음,9,32,43,53,87,18,29,62,86,97
2585,근로복지회관주변,주중,2010-06-17,12시~13시까지,310032,521723,경기도 수원시 정자3동,맑음,9,35,26,36,16,8,24,65,42,60
2585,근로복지회관주변,주중,2010-06-17,19시~20시까지,310032,521723,경기도 수원시 정자3동,맑음,72,42,18,12,18,42,30,96,48,6
2585,근로복지회관주변,주말,2010-06-20,12시~13시까지,310032,521723,경기도 수원시 정자3동,맑음,15,36,42,53,32,23,43,52,42,39
2585,근로복지회관주변,주말,2010-06-20,19시~20시까지,310032,521723,경기도 수원시 정자3동,맑음,36,42,56,64,41,34,46,62,58,46
2586,장안등기소주변,주중,2010-06-17,12시~13시까지,310047,522129,경기도 수원시 정자3동,맑음,14,25,31,21,13,9,22,48,39,35
2586,장안등기소주변,주중,2010-06-17,19시~20시까지,310047,522129,경기도 수원시 정자3동,맑음,72,42,18,12,18,42,30,96,48,36
2586,장안등기소주변,주말,2010-06-20,12시~13시까지,310047,522129,경기도 수원시 정자3동,맑음,32,20,32,16,34,39,28,51,41,30
2586,장안등기소주변,주말,2010-06-20,19시~20시까지,310047,522129,경기도 수원시 정자3동,맑음,36,45,66,43,34,42,56,49,62,43
2587,A지점(기업은행앞),주중,2010-06-17,12시~13시까지,328207,568829,경기도 남양주시 진접읍,흐림,22,30,40,36,32,14,48,62,52,26
2587,A지점(기업은행앞),주중,2010-06-17,19시~20시까지,328207,568829,경기도 남양주시 진접읍,흐림,50,54,74,58,28,72,38,48,42,38
2587,A지점(기업은행앞),주말,2010-06-19,12시~13시까지,328207,568829,경기도 남양주시 진접읍,흐림,46,48,68,52,26,66,34,44,38,36
2587,A지점(기업은행앞),주말,2010-06-19,19시~20시까지,328207,568829,경기도 남양주시 진접읍,흐림,70,76,104,82,38,102,54,68,58,56
2588,B지점( S K 텔레콤앞),주중,2010-06-17,12시~13시까지,327963,568626,경기도 남양주시 진접읍,흐림,16,22,30,24,20,10,32,42,36,20
2588,B지점( S K 텔레콤앞),주중,2010-06-17,19시~20시까지,327963,568626,경기도 남양주시 진접읍,흐림,32,38,46,40,22,48,24,32,28,26
2588,B지점( S K 텔레콤앞),주말,2010-06-19,12시~13시까지,327963,568626,경기도 남양주시 진접읍,흐림,30,34,42,36,18,44,24,28,24,20
2588,B지점( S K 텔레콤앞),주말,2010-06-19,19시~20시까지,327963,568626,경기도 남양주시 진접읍,흐림,48,46,68,54,26,68,36,44,40,34
2589,A지점(용정 사거리앞),주중,2010-06-18,12시~13시까지,327763,561858,경기도 남양주시 진건읍,흐림,20,28,34,32,30,14,38,50,42,18
2589,A지점(용정 사거리앞),주중,2010-06-18,19시~20시까지,327763,561858,경기도 남양주시 진건읍,흐림,42,46,64,52,24,60,30,46,34,30
2589,A지점(용정 사거리앞),주말,2010-06-20,12시~13시까지,327763,561858,경기도 남양주시 진건읍,흐림,38,42,58,46,20,54,28,42,30,32
2589,A지점(용정 사거리앞),주말,2010-06-20,19시~20시까지,327763,561858,경기도 남양주시 진건읍,흐림,58,66,90,72,34,84,42,66,48,46
2590,B지점(마을회관 앞),주중,2010-06-18,12시~13시까지,327918,561834,경기도 남양주시 진건읍,흐림,10,14,20,16,14,8,20,26,22,10
2590,B지점(마을회관 앞),주중,2010-06-18,19시~20시까지,327918,561834,경기도 남양주시 진건읍,흐림,20,24,32,26,12,30,16,24,18,14
2590,B지점(마을회관 앞),주말,2010-06-20,12시~13시까지,327918,561834,경기도 남양주시 진건읍,흐림,20,24,30,26,10,28,14,22,16,14
2590,B지점(마을회관 앞),주말,2010-06-20,19시~20시까지,327918,561834,경기도 남양주시 진건읍,흐림,30,34,46,36,18,42,20,34,24,20
2591,A지점(돌다리사거리 앞),주중,2010-06-24,12시~13시까지,324390,555809,경기도 구리시 수택1동,흐림,62,168,172,66,50,88,158,180,130,92
2591,A지점(돌다리사거리 앞),주중,2010-06-24,19시~20시까지,324390,555809,경기도 구리시 수택1동,흐림,184,174,256,116,90,142,262,204,106,64
2591,A지점(돌다리사거리 앞),주말,2010-06-26,12시~13시까지,324390,555809,경기도 구리시 수택1동,흐림,134,228,242,104,98,204,282,378,206,130
2591,A지점(돌다리사거리 앞),주말,2010-06-26,19시~20시까지,324390,555809,경기도 구리시 수택1동,흐림,262,192,324,152,82,270,232,252,114,64
2592,B지점(롯데백화점 앞),주중,2010-06-24,12시~13시까지,324534,555932,경기도 구리시 수택1동,흐림,30,122,130,52,38,52,114,136,94,68
4069,교차로 앞,주중,2010-07-07,12시~13시까지,297769,562479,경기도 고양시 성사1동,맑음,4,2,12,10,2,4,4,12,12,4
