'조사번호'	'조사지역'	'주구분'	'조사일자'	'시간대'	'X좌표'	'Y좌표'	'행정구역명'	'날씨'	'남자10대'	'남자20대'	'남자30대'	'남자40대'	'남자50대'	'여자10대'	'여자20대'	'여자30대'	'여자40대'	'여자50대'
'2723'	'빠리바케트앞'	'주말'	'2010-06-27'	'12시~13시까지'	'323936'	'534785'	'경기도 성남시 야탑동'	'맑음'	'90'	'48'	'42'	'39'	'25'	'39'	'37'	'56'	'28'	'29'
'2723'	'빠리바케트앞'	'주말'	'2010-06-27'	'19시~20시까지'	'323936'	'534785'	'경기도 성남시 야탑동'	'맑음'	'55'	'23'	'39'	'36'	'34'	'40'	'28'	'27'	'43'	'28'
'2724'	'GS25앞'	'주중'	'2010-06-24'	'12시~13시까지'	'323919'	'534713'	'경기도 성남시 야탑동'	'맑음'	'19'	'40'	'107'	'92'	'59'	'3'	'32'	'100'	'70'	'24'
'2724'	'GS25앞'	'주중'	'2010-06-24'	'19시~20시까지'	'323919'	'534713'	'경기도 성남시 야탑동'	'맑음'	'140'	'44'	'92'	'81'	'47'	'160'	'34'	'99'	'91'	'39'
'2724'	'GS25앞'	'주말'	'2010-06-27'	'12시~13시까지'	'323919'	'534713'	'경기도 성남시 야탑동'	'맑음'	'165'	'63'	'50'	'72'	'54'	'85'	'34'	'50'	'66'	'24'
'2724'	'GS25앞'	'주말'	'2010-06-27'	'19시~20시까지'	'323919'	'534713'	'경기도 성남시 야탑동'	'맑음'	'93'	'46'	'9'	'27'	'67'	'82'	'38'	'9'	'22'	'63'
'2725'	'패밀리마트앞'	'주중'	'2010-06-25'	'12시~13시까지'	'323398'	'530974'	'경기도 성남시 서현동'	'맑음'	'39'	'24'	'30'	'23'	'45'	'51'	'21'	'56'	'106'	'87'
'2725'	'패밀리마트앞'	'주중'	'2010-06-25'	'19시~20시까지'	'323398'	'530974'	'경기도 성남시 서현동'	'맑음'	'80'	'16'	'29'	'28'	'78'	'68'	'40'	'72'	'133'	'60'
'2725'	'패밀리마트앞'	'주말'	'2010-07-03'	'12시~13시까지'	'323398'	'530974'	'경기도 성남시 서현동'	'비'	'46'	'17'	'31'	'35'	'41'	'67'	'43'	'37'	'56'	'31'
'2725'	'패밀리마트앞'	'주말'	'2010-07-03'	'19시~20시까지'	'323398'	'530974'	'경기도 성남시 서현동'	'비'	'24'	'50'	'13'	'21'	'47'	'26'	'54'	'22'	'45'	'49'
'2726'	'GS25앞'	'주중'	'2010-06-25'	'12시~13시까지'	'323424'	'530923'	'경기도 성남시 서현2동'	'맑음'	'68'	'49'	'17'	'30'	'83'	'62'	'64'	'46'	'110'	'147'
'2726'	'GS25앞'	'주중'	'2010-06-25'	'19시~20시까지'	'323424'	'530923'	'경기도 성남시 서현2동'	'맑음'	'98'	'42'	'19'	'37'	'76'	'60'	'100'	'80'	'139'	'138'
'2726'	'GS25앞'	'주말'	'2010-07-03'	'12시~13시까지'	'323424'	'530923'	'경기도 성남시 서현2동'	'비'	'75'	'42'	'30'	'41'	'75'	'85'	'65'	'43'	'80'	'66'
'2726'	'GS25앞'	'주말'	'2010-07-03'	'19시~20시까지'	'323424'	'530923'	'경기도 성남시 서현2동'	'비'	'80'	'58'	'20'	'55'	'50'	'38'	'80'	'45'	'90'	'30'
'2727'	'열린하늘문교회앞'	'주중'	'2010-07-07'	'12시~13시까지'	'322786'	'534080'	'경기도 성남시 야탑3동'	'흐림'	'3'	'16'	'23'	'20'	'43'	'1'	'10'	'22'	'32'	'20'
'2727'	'열린하늘문교회앞'	'주중'	'2010-07-07'	'19시~20시까지'	'322786'	'534080'	'경기도 성남시 야탑3동'	'흐림'	'108'	'34'	'30'	'13'	'30'	'66'	'19'	'38'	'54'	'16'
'2727'	'열린하늘문교회앞'	'주말'	'2010-07-10'	'12시~13시까지'	'322786'	'534080'	'경기도 성남시 야탑3동'	'흐림'	'86'	'28'	'18'	'11'	'19'	'60'	'26'	'29'	'28'	'18'
'2727'	'열린하늘문교회앞'	'주말'	'2010-07-10'	'19시~20시까지'	'322786'	'534080'	'경기도 성남시 야탑3동'	'흐림'	'69'	'22'	'15'	'25'	'32'	'70'	'20'	'26'	'34'	'17'
'2728'	'두레교회앞'	'주중'	'2010-07-07'	'12시~13시까지'	'322888'	'534078'	'경기도 성남시 야탑3동'	'흐림'	'10'	'29'	'30'	'42'	'33'	'7'	'74'	'74'	'74'	'72'
'2728'	'두레교회앞'	'주중'	'2010-07-07'	'19시~20시까지'	'322888'	'534078'	'경기도 성남시 야탑3동'	'흐림'	'240'	'25'	'6'	'33'	'14'	'300'	'60'	'34'	'100'	'30'
'2728'	'두레교회앞'	'주말'	'2010-07-10'	'12시~13시까지'	'322888'	'534078'	'경기도 성남시 야탑3동'	'흐림'	'68'	'10'	'9'	'18'	'8'	'52'	'11'	'16'	'8'	'9'
'2728'	'두레교회앞'	'주말'	'2010-07-10'	'19시~20시까지'	'322888'	'534078'	'경기도 성남시 야탑3동'	'흐림'	'43'	'16'	'15'	'18'	'15'	'27'	'19'	'15'	'15'	'18'
'2729'	'수내역4번출구앞'	'주중'	'2010-07-08'	'12시~13시까지'	'321848'	'531179'	'경기도 성남시 수내1동'	'흐림'	'5'	'31'	'76'	'49'	'84'	'3'	'46'	'65'	'80'	'49'
'2729'	'수내역4번출구앞'	'주중'	'2010-07-08'	'19시~20시까지'	'321848'	'531179'	'경기도 성남시 수내1동'	'흐림'	'35'	'74'	'64'	'66'	'107'	'16'	'82'	'69'	'87'	'35'
'2729'	'수내역4번출구앞'	'주말'	'2010-07-11'	'12시~13시까지'	'321848'	'531179'	'경기도 성남시 수내1동'	'비'	'78'	'114'	'86'	'50'	'52'	'49'	'163'	'128'	'75'	'55'
'2729'	'수내역4번출구앞'	'주말'	'2010-07-11'	'19시~20시까지'	'321848'	'531179'	'경기도 성남시 수내1동'	'비'	'60'	'108'	'111'	'54'	'73'	'95'	'133'	'188'	'124'	'58'
'2730'	'수내역2번출구앞'	'주중'	'2010-07-08'	'12시~13시까지'	'321655'	'530934'	'경기도 성남시 수내1동'	'흐림'	'17'	'63'	'245'	'219'	'337'	'15'	'83'	'397'	'488'	'329'
'2730'	'수내역2번출구앞'	'주중'	'2010-07-08'	'19시~20시까지'	'321655'	'530934'	'경기도 성남시 수내1동'	'흐림'	'70'	'170'	'235'	'350'	'160'	'55'	'205'	'415'	'363'	'180'
'2730'	'수내역2번출구앞'	'주말'	'2010-07-11'	'12시~13시까지'	'321655'	'530934'	'경기도 성남시 수내1동'	'비'	'36'	'121'	'54'	'41'	'33'	'36'	'130'	'74'	'42'	'44'
'2730'	'수내역2번출구앞'	'주말'	'2010-07-11'	'19시~20시까지'	'321655'	'530934'	'경기도 성남시 수내1동'	'비'	'39'	'48'	'106'	'54'	'40'	'33'	'75'	'101'	'51'	'33'
'2805'	'서현역 5번출구'	'주중'	'2010-07-02'	'12시~13시까지'	'322633'	'531881'	'경기도 성남시 서현동'	'흐림'	'4'	'253'	'149'	'176'	'192'	'5'	'369'	'355'	'345'	'183'
'2805'	'서현역 5번출구'	'주중'	'2010-07-02'	'19시~20시까지'	'322633'	'531881'	'경기도 성남시 서현동'	'흐림'	'158'	'540'	'465'	'495'	'133'	'94'	'890'	'430'	'300'	'90'
'2805'	'서현역 5번출구'	'주말'	'2010-07-03'	'12시~13시까지'	'322633'	'531881'	'경기도 성남시 서현동'	'비'	'176'	'163'	'90'	'83'	'96'	'398'	'196'	'93'	'87'	'59'
'2805'	'서현역 5번출구'	'주말'	'2010-07-03'	'19시~20시까지'	'322633'	'531881'	'경기도 성남시 서현동'	'비'	'160'	'348'	'281'	'233'	'67'	'482'	'473'	'113'	'76'	'29'
'2806'	'서현역 4번출구'	'주중'	'2010-07-02'	'12시~13시까지'	'322480'	'531797'	'경기도 성남시 서현동'	'흐림'	'0'	'159'	'222'	'182'	'134'	'7'	'211'	'340'	'278'	'180'
'2806'	'서현역 4번출구'	'주중'	'2010-07-02'	'19시~20시까지'	'322480'	'531797'	'경기도 성남시 서현동'	'흐림'	'30'	'415'	'280'	'215'	'141'	'156'	'535'	'395'	'230'	'105'
'2806'	'서현역 4번출구'	'주말'	'2010-07-03'	'12시~13시까지'	'322480'	'531797'	'경기도 성남시 서현동'	'비'	'44'	'102'	'134'	'86'	'67'	'457'	'112'	'89'	'70'	'58'
'2806'	'서현역 4번출구'	'주말'	'2010-07-03'	'19시~20시까지'	'322480'	'531797'	'경기도 성남시 서현동'	'비'	'70'	'552'	'250'	'132'	'71'	'445'	'650'	'140'	'125'	'62'
'3249'	'모란역 4번출구'	'주중'	'2010-06-09'	'12시~13시까지'	'323156'	'536923'	'경기도 성남시 성남동'	'맑음'	'0'	'144'	'60'	'24'	'290'	'0'	'206'	'102'	'174'	'156'
'3249'	'모란역 4번출구'	'주중'	'2010-06-09'	'19시~20시까지'	'323156'	'536923'	'경기도 성남시 성남동'	'맑음'	'6'	'204'	'150'	'186'	'144'	'12'	'198'	'120'	'204'	'36'
'3249'	'모란역 4번출구'	'주말'	'2010-06-12'	'12시~13시까지'	'323156'	'536923'	'경기도 성남시 성남동'	'비'	'98'	'272'	'84'	'188'	'392'	'146'	'268'	'126'	'206'	'452'
'3249'	'모란역 4번출구'	'주말'	'2010-06-12'	'19시~20시까지'	'323156'	'536923'	'경기도 성남시 성남동'	'비'	'186'	'516'	'160'	'358'	'208'	'278'	'510'	'240'	'310'	'152'
'3264'	'모란역 7번출구'	'주중'	'2010-06-09'	'12시~13시까지'	'323081'	'537051'	'경기도 성남시 성남동'	'맑음'	'0'	'96'	'18'	'78'	'300'	'0'	'54'	'18'	'120'	'240'
'3264'	'모란역 7번출구'	'주중'	'2010-06-09'	'19시~20시까지'	'323081'	'537051'	'경기도 성남시 성남동'	'맑음'	'24'	'150'	'120'	'108'	'276'	'2'	'204'	'126'	'128'	'210'
'3264'	'모란역 7번출구'	'주말'	'2010-06-12'	'12시~13시까지'	'323081'	'537051'	'경기도 성남시 성남동'	'비'	'0'	'60'	'118'	'124'	'1700'	'4'	'74'	'248'	'134'	'1308'
'3264'	'모란역 7번출구'	'주말'	'2010-06-12'	'19시~20시까지'	'323081'	'537051'	'경기도 성남시 성남동'	'비'	'126'	'140'	'188'	'174'	'650'	'86'	'196'	'170'	'140'	'394'
'3267'	'파리바게트앞'	'주중'	'2010-06-03'	'12시~13시까지'	'323808'	'536764'	'경기도 성남시 성남동'	'맑음'	'2'	'30'	'32'	'20'	'164'	'4'	'30'	'36'	'46'	'136'
'3267'	'파리바게트앞'	'주중'	'2010-06-03'	'19시~20시까지'	'323808'	'536764'	'경기도 성남시 성남동'	'맑음'	'20'	'50'	'60'	'40'	'124'	'20'	'60'	'90'	'76'	'84'
'3267'	'파리바게트앞'	'주말'	'2010-06-06'	'12시~13시까지'	'323808'	'536764'	'경기도 성남시 성남동'	'맑음'	'120'	'36'	'72'	'36'	'66'	'54'	'60'	'30'	'72'	'116'
'3267'	'파리바게트앞'	'주말'	'2010-06-06'	'19시~20시까지'	'323808'	'536764'	'경기도 성남시 성남동'	'맑음'	'126'	'30'	'98'	'42'	'8'	'86'	'30'	'78'	'30'	'48'
'3269'	'바다약국'	'주중'	'2010-06-03'	'12시~13시까지'	'323790'	'536805'	'경기도 성남시 성남동'	'맑음'	'14'	'42'	'30'	'60'	'114'	'10'	'58'	'90'	'24'	'72'
'3269'	'바다약국'	'주중'	'2010-06-03'	'19시~20시까지'	'323790'	'536805'	'경기도 성남시 성남동'	'맑음'	'42'	'48'	'24'	'6'	'24'	'30'	'24'	'24'	'18'	'30'
'3269'	'바다약국'	'주말'	'2010-06-06'	'12시~13시까지'	'323790'	'536805'	'경기도 성남시 성남동'	'맑음'	'120'	'36'	'72'	'36'	'66'	'54'	'60'	'30'	'72'	'116'
'3269'	'바다약국'	'주말'	'2010-06-06'	'19시~20시까지'	'323790'	'536805'	'경기도 성남시 성남동'	'맑음'	'126'	'30'	'98'	'42'	'96'	'86'	'30'	'78'	'30'	'48'
'3274'	'종합장식'	'주중'	'2010-06-10'	'12시~13시까지'	'324884'	'536722'	'경기도 성남시 하대원동'	'맑음'	'18'	'36'	'24'	'12'	'72'	'6'	'24'	'78'	'120'	'198'
'3274'	'종합장식'	'주중'	'2010-06-10'	'19시~20시까지'	'324884'	'536722'	'경기도 성남시 하대원동'	'맑음'	'66'	'84'	'42'	'12'	'108'	'102'	'72'	'90'	'168'	'246'
'3274'	'종합장식'	'주말'	'2010-06-13'	'12시~13시까지'	'324884'	'536722'	'경기도 성남시 하대원동'	'비'	'6'	'24'	'18'	'54'	'48'	'4'	'60'	'108'	'42'	'48'
'3274'	'종합장식'	'주말'	'2010-06-13'	'19시~20시까지'	'324884'	'536722'	'경기도 성남시 하대원동'	'비'	'60'	'42'	'18'	'68'	'64'	'60'	'24'	'116'	'24'	'66'
'3277'	'한림학원'	'주중'	'2010-06-10'	'12시~13시까지'	'324985'	'536753'	'경기도 성남시 하대원동'	'맑음'	'84'	'42'	'18'	'24'	'60'	'84'	'138'	'108'	'62'	'58'
'3277'	'한림학원'	'주중'	'2010-06-10'	'19시~20시까지'	'324985'	'536753'	'경기도 성남시 하대원동'	'맑음'	'42'	'20'	'10'	'10'	'26'	'36'	'56'	'44'	'28'	'30'
'3277'	'한림학원'	'주말'	'2010-06-13'	'12시~13시까지'	'324985'	'536753'	'경기도 성남시 하대원동'	'비'	'4'	'24'	'18'	'54'	'48'	'2'	'60'	'108'	'42'	'48'
'3277'	'한림학원'	'주말'	'2010-06-13'	'19시~20시까지'	'324985'	'536753'	'경기도 성남시 하대원동'	'비'	'60'	'42'	'18'	'68'	'64'	'60'	'24'	'116'	'24'	'66'
'3280'	'제일치과'	'주중'	'2010-06-16'	'12시~13시까지'	'325729'	'537505'	'경기도 성남시 상대원2동'	'비'	'18'	'36'	'24'	'12'	'72'	'4'	'24'	'78'	'120'	'198'
'3280'	'제일치과'	'주중'	'2010-06-16'	'19시~20시까지'	'325729'	'537505'	'경기도 성남시 상대원2동'	'비'	'66'	'84'	'42'	'12'	'108'	'102'	'72'	'90'	'168'	'246'
'3280'	'제일치과'	'주말'	'2010-06-19'	'12시~13시까지'	'325729'	'537505'	'경기도 성남시 상대원2동'	'비'	'86'	'36'	'38'	'24'	'88'	'24'	'42'	'40'	'50'	'188'
'3280'	'제일치과'	'주말'	'2010-06-19'	'19시~20시까지'	'325729'	'537505'	'경기도 성남시 상대원2동'	'비'	'140'	'54'	'48'	'46'	'108'	'96'	'72'	'48'	'130'	'116'
'3281'	'로마니나제과점'	'주중'	'2010-06-16'	'12시~13시까지'	'325682'	'537476'	'경기도 성남시 상대원2동'	'비'	'48'	'66'	'72'	'42'	'126'	'6'	'78'	'222'	'108'	'120'
'3281'	'로마니나제과점'	'주중'	'2010-06-16'	'19시~20시까지'	'325682'	'537476'	'경기도 성남시 상대원2동'	'비'	'60'	'102'	'24'	'26'	'54'	'30'	'108'	'116'	'120'	'138'
'3281'	'로마니나제과점'	'주말'	'2010-06-19'	'12시~13시까지'	'325682'	'537476'	'경기도 성남시 상대원2동'	'비'	'66'	'84'	'30'	'30'	'54'	'60'	'84'	'98'	'54'	'122'
'3281'	'로마니나제과점'	'주말'	'2010-06-19'	'19시~20시까지'	'325682'	'537476'	'경기도 성남시 상대원2동'	'비'	'78'	'60'	'30'	'42'	'68'	'54'	'104'	'120'	'36'	'108'
'3283'	'이성범베이커리'	'주중'	'2010-06-17'	'12시~13시까지'	'326232'	'538055'	'경기도 성남시 금광1동'	'흐림'	'42'	'18'	'12'	'24'	'66'	'18'	'30'	'48'	'52'	'86'
'3283'	'이성범베이커리'	'주중'	'2010-06-17'	'19시~20시까지'	'326232'	'538055'	'경기도 성남시 금광1동'	'흐림'	'30'	'12'	'36'	'90'	'90'	'24'	'90'	'62'	'72'	'78'
